Date,Backlog_Accumulation,System_Backlog,Transfer_Efficiency,Discharge_Effectiveness
2024-12-02,121.0,6391.0,0.6727272727272727,0.018973766705164163
2024-04-23,118.0,7394.0,0.7189695550351288,0.019233529496196354
2024-02-06,113.0,8500.0,0.7098901098901099,0.022125543816034803
2024-04-24,99.0,7539.0,0.7469586374695864,0.021604938271604937
2024-04-30,85.0,7874.0,0.43792325056433407,0.018167137666532097
2024-09-30,71.0,6252.0,0.6456140350877193,0.023127199597787834
2024-10-22,71.0,6323.0,0.5214285714285715,0.018037398643058082
2024-12-05,68.0,6593.0,0.734982332155477,0.02377179080824089
2024-02-13,67.0,8717.0,0.94579945799458,0.019166267369429803
2023-07-04,60.0,6441.0,0.6910828025477707,0.020238289538110004
